Episode,Dataset File,Folder,Predicted Algorithm,Actual Best,Execution Time,Best Execution Time
40,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_130000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.030045032501220703,0.030045032501220703
41,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_140000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.06024599075317383,0.06024599075317383
42,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_150000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.035772085189819336,0.035772085189819336
43,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_60000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.014745712280273438,0.014745712280273438
44,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_120000.txt,Data_set_0-1000,Merge Sort,Quick Sort,0.18693304061889648,0.052941083908081055
45,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_80000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.04016590118408203,0.04016590118408203
46,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_140000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.03840494155883789,0.03840494155883789
47,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_120000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.032015085220336914,0.032015085220336914
48,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_80000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.04016590118408203,0.04016590118408203
49,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_150000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.035772085189819336,0.035772085189819336
50,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_10000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.0027849674224853516,0.0027849674224853516
51,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_60000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.014745712280273438,0.014745712280273438
52,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_70000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.034216880798339844,0.034216880798339844
53,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_100000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.04378008842468262,0.04378008842468262
54,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_140000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.03840494155883789,0.03840494155883789
55,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_50000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.021915912628173828,0.021915912628173828
56,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_110000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.049031972885131836,0.049031972885131836
57,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_60000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.027067899703979492,0.027067899703979492
58,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_130000.txt,Data_set_0-63,Merge Sort,Quick Sort,0.1999058723449707,0.030045032501220703
59,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_120000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.052941083908081055,0.052941083908081055
60,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_90000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.022698163986206055,0.022698163986206055
61,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_80000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.019796133041381836,0.019796133041381836
62,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_110000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.02684164047241211,0.02684164047241211
63,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_120000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.032015085220336914,0.032015085220336914
64,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_20000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.005075931549072266,0.005075931549072266
65,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_50000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.014055252075195312,0.014055252075195312
66,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_100000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.02591705322265625,0.02591705322265625
67,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_40000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.01880812644958496,0.01880812644958496
68,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_70000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.019772052764892578,0.019772052764892578
69,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_30000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.007806062698364258,0.007806062698364258
70,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_140000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.06024599075317383,0.06024599075317383
71,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_20000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.010195016860961914,0.010195016860961914
72,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_60000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.027067899703979492,0.027067899703979492
73,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_20000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.005075931549072266,0.005075931549072266
74,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_90000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.022698163986206055,0.022698163986206055
75,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_10000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.0027849674224853516,0.0027849674224853516
76,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_140000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.06024599075317383,0.06024599075317383
77,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_100000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.02591705322265625,0.02591705322265625
78,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_100000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.04378008842468262,0.04378008842468262
79,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_80000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.04016590118408203,0.04016590118408203
80,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_30000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.007806062698364258,0.007806062698364258
81,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_110000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.049031972885131836,0.049031972885131836
82,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_110000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.02684164047241211,0.02684164047241211
83,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_50000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.021915912628173828,0.021915912628173828
84,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_70000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.019772052764892578,0.019772052764892578
85,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_70000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.034216880798339844,0.034216880798339844
86,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_40000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.01880812644958496,0.01880812644958496
87,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_130000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.030045032501220703,0.030045032501220703
88,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_150000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.035772085189819336,0.035772085189819336
89,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_50000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.014055252075195312,0.014055252075195312
90,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_80000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.019796133041381836,0.019796133041381836
91,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_140000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.03840494155883789,0.03840494155883789
92,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_120000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.032015085220336914,0.032015085220336914
93,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_120000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.052941083908081055,0.052941083908081055
94,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_20000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.010195016860961914,0.010195016860961914
95,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_60000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.014745712280273438,0.014745712280273438
96,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_50000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.014055252075195312,0.014055252075195312
97,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_10000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.0027849674224853516,0.0027849674224853516
98,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_100000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.02591705322265625,0.02591705322265625
99,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_60000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.027067899703979492,0.027067899703979492
100,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_140000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.06024599075317383,0.06024599075317383
101,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_110000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.049031972885131836,0.049031972885131836
102,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_60000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.014745712280273438,0.014745712280273438
103,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_50000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.021915912628173828,0.021915912628173828
104,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_70000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.019772052764892578,0.019772052764892578
105,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_90000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.022698163986206055,0.022698163986206055
106,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_120000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.032015085220336914,0.032015085220336914
107,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_110000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.02684164047241211,0.02684164047241211
108,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_20000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.005075931549072266,0.005075931549072266
109,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_130000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.030045032501220703,0.030045032501220703
110,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_20000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.010195016860961914,0.010195016860961914
111,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_70000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.034216880798339844,0.034216880798339844
112,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_80000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.019796133041381836,0.019796133041381836
113,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_120000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.052941083908081055,0.052941083908081055
114,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_30000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.007806062698364258,0.007806062698364258
115,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_100000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.04378008842468262,0.04378008842468262
116,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_140000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.03840494155883789,0.03840494155883789
117,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_150000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.035772085189819336,0.035772085189819336
118,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_40000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.01880812644958496,0.01880812644958496
119,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_80000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.04016590118408203,0.04016590118408203
120,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_80000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.019796133041381836,0.019796133041381836
121,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_20000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.005075931549072266,0.005075931549072266
122,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_20000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.010195016860961914,0.010195016860961914
123,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_80000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.04016590118408203,0.04016590118408203
124,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_50000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.014055252075195312,0.014055252075195312
125,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_140000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.03840494155883789,0.03840494155883789
126,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_70000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.019772052764892578,0.019772052764892578
127,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_120000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.032015085220336914,0.032015085220336914
128,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_150000.txt,Data_set_0-63,Merge Sort,Quick Sort,0.2395620346069336,0.035772085189819336
129,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_50000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.021915912628173828,0.021915912628173828
130,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_30000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.007806062698364258,0.007806062698364258
131,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_120000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.052941083908081055,0.052941083908081055
132,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_10000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.0027849674224853516,0.0027849674224853516
133,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_60000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.027067899703979492,0.027067899703979492
134,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_140000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.06024599075317383,0.06024599075317383
135,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_100000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.02591705322265625,0.02591705322265625
136,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_100000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.04378008842468262,0.04378008842468262
137,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_110000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.049031972885131836,0.049031972885131836
138,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_40000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.01880812644958496,0.01880812644958496
139,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_60000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.014745712280273438,0.014745712280273438
140,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_130000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.030045032501220703,0.030045032501220703
141,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_110000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.02684164047241211,0.02684164047241211
142,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_70000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.034216880798339844,0.034216880798339844
143,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_90000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.022698163986206055,0.022698163986206055
144,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_140000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.06024599075317383,0.06024599075317383
145,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_120000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.052941083908081055,0.052941083908081055
146,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_50000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.014055252075195312,0.014055252075195312
147,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_80000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.019796133041381836,0.019796133041381836
148,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_30000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.007806062698364258,0.007806062698364258
149,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_70000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.019772052764892578,0.019772052764892578
150,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_60000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.014745712280273438,0.014745712280273438
151,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_40000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.01880812644958496,0.01880812644958496
152,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_50000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.021915912628173828,0.021915912628173828
153,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_110000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.02684164047241211,0.02684164047241211
154,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_60000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.027067899703979492,0.027067899703979492
155,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_120000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.032015085220336914,0.032015085220336914
156,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_100000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.04378008842468262,0.04378008842468262
157,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_80000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.04016590118408203,0.04016590118408203
158,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_90000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.022698163986206055,0.022698163986206055
159,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_10000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.0027849674224853516,0.0027849674224853516
160,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_140000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.03840494155883789,0.03840494155883789
161,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_20000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.005075931549072266,0.005075931549072266
162,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_20000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.010195016860961914,0.010195016860961914
163,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_110000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.049031972885131836,0.049031972885131836
164,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_100000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.02591705322265625,0.02591705322265625
165,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_70000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.034216880798339844,0.034216880798339844
166,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_150000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.035772085189819336,0.035772085189819336
167,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_130000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.030045032501220703,0.030045032501220703
168,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_10000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.0027849674224853516,0.0027849674224853516
169,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_70000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.034216880798339844,0.034216880798339844
170,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_20000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.010195016860961914,0.010195016860961914
171,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_50000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.021915912628173828,0.021915912628173828
172,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_130000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.030045032501220703,0.030045032501220703
173,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_80000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.04016590118408203,0.04016590118408203
174,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_20000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.005075931549072266,0.005075931549072266
175,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_60000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.027067899703979492,0.027067899703979492
